IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
23697,2025,Julio Rodriguez,SEA,CF,159,158,1406.1,431,6,4,3,1,0,2,0,0,,,,,,0.991,,,,2.0,2,5.0,9,317.0,301.0,0.95,130.0,,,,,,,,,,,6.1,,,,,,,,,,,,,0,,,,10.0,9.0
16505,2025,Matt Chapman,SFG,3B,128,127,1116.1,93,224,13,7,6,23,28,0,3,,,,,,0.961,,,0.0,,-1,4.0,5,227.0,154.0,0.678,63.0,,,,,,,,,,,5.9,,,,,,,,,,,,,0,,,,4.0,3.0
23003,2025,Yainer Diaz,HOU,C,113,111,990.0,1064,38,3,0,3,0,3,0,0,,95.0,23.0,7.0,26.0,0.997,,0.0,,,1,,1,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,-3,3.0,,-3.5,,
11739,2025,J.T. Realmuto,PHI,C,132,132,1151.1,1216,37,6,0,5,0,8,0,3,,71.0,30.0,2.0,31.0,0.995,,1.0,,,2,,-2,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,-7,4.0,,-7.0,,
19709,2025,Fernando Tatis Jr.,SDP,RF,153,153,1299.0,351,5,3,2,1,0,4,0,0,,,,,,0.992,,,,3.0,6,6.0,15,266.0,249.0,0.936,103.0,,,,,,,,,,,5.3,,,,,,,,,,,,,0,,,,8.0,7.0
17678,2025,Alex Bregman,BOS,3B,113,110,972.1,74,206,9,3,6,22,23,0,2,,,,,,0.969,,,0.0,,0,0.0,1,210.0,146.0,0.695,58.0,,,,,,,,,,,4.7,,,,,,,,,,,,,0,,,,3.0,3.0
24816,2025,Andy Pages,LAD,CF,121,117,973.0,263,7,8,5,3,0,3,0,0,,,,,,0.971,,,,5.0,0,-6.0,-1,196.0,182.0,0.929,81.0,,,,,,,,,,,4.2,,,,,,,,,,,,,0,,,,5.0,5.0
29646,2025,Caleb Durbin,MIL,3B,131,119,1060.2,84,201,6,4,2,14,15,0,3,,,,,,0.979,,,-1.0,,0,5.0,5,202.0,144.0,0.713,52.0,,,,,,,,,,,3.9,,,,,,,,,,,,,0,,,,2.0,1.0
29622,2025,Sal Frelick,MIL,RF,134,128,1117.0,273,10,3,2,1,0,2,0,0,,,,,,0.99,,,,3.0,1,5.0,9,206.0,189.0,0.917,84.0,,,,,,,,,,,3.4,,,,,,,,,,,,,0,,,,6.0,5.0
26668,2025,Elly De La Cruz,CIN,SS,158,157,1382.0,217,340,26,11,15,62,49,15,8,,,,,,0.955,,,3.0,,-1,-7.0,-5,294.0,218.0,0.741,102.0,,,,,,,,,,,3.2,,,,,,,,,,,,,0,,,,-3.0,-2.0
33266,2025,Jacob Wilson,ATH,SS,124,124,1053.2,139,239,8,6,2,44,27,18,1,,,,,,0.979,,,1.0,,-1,-10.0,-10,211.0,146.0,0.692,75.0,,,,,,,,,,,3.1,,,,,,,,,,,,,0,,,,-2.0,-1.0
25931,2025,Michael Harris II,ATL,CF,160,157,1397.0,402,1,1,0,1,0,0,0,0,,,,,,0.998,,,,-2.0,-1,9.0,6,299.0,289.0,0.967,113.0,,,,,,,,,,,3.0,,,,,,,,,,,,,0,,,,8.0,8.0
26289,2025,Gunnar Henderson,BAL,SS,145,142,1249.2,206,371,8,4,4,72,36,36,4,,,,,,0.986,,,2.0,,-2,-3.0,-3,305.0,241.0,0.79,93.0,,,,,,,,,,,2.6,,,,,,,,,,,,,0,,,,-3.0,-2.0
29490,2025,Jackson Merrill,SDP,CF,114,114,1001.1,284,9,1,1,0,0,1,0,0,,,,,,0.997,,,,1.0,3,-4.0,0,223.0,214.0,0.96,70.0,,,,,,,,,,,2.3,,,,,,,,,,,,,0,,,,2.0,2.0
25816,2025,Shea Langeliers,ATH,C,108,104,928.0,890,40,8,0,6,1,2,1,0,,97.0,18.0,9.0,17.0,0.991,,-3.0,,,1,,-10,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,-6,-3.0,,-6.7,,
25878,2025,Corbin Carroll,ARI,RF,137,132,1189.1,293,9,1,0,1,0,3,0,0,,,,,,0.997,,,,-4.0,1,10.0,7,209.0,183.0,0.876,110.0,,,,,,,,,,,1.6,,,,,,,,,,,,,0,,,,9.0,8.0
